(20, 1, 3, 3)
(20, 2, 16, 3)
(20, 3, 4, 4)
(20, 4, 28, 3)
(20, 5, 17, 6)
(20, 6, 27, 4)
(20, 7, 19, 3)
(21, 0, 17, 4)
(21, 1, 4, 3)
(21, 2, 10, 2)
(21, 3, 11, 6)
(21, 4, 4, 5)
(21, 5, 4, 2)
(21, 6, 12, 4)
(21, 7, 20, 4)
(22, 0, 21, 3)
(22, 1, 8, 2)
(22, 2, 18, 3)
(22, 3, 22, 5)
(22, 4, 9, 2)
(22, 5, 19, 6)
(22, 6, 25, 2)
(22, 7, 25, 0)
(23, 0, 22, 3)
(23, 1, 1, 1)
(23, 2, 10, 3)
(23, 3, 17, 2)
(23, 4, 8, 3)
(23, 5, 22, 0)
(23, 6, 10, 5)
(23, 7, 13, 7)
(24, 0, 14, 2)
(24, 1, 11, 1)
(24, 2, 2, 1)
(24, 3, 20, 5)
(24, 4, 13, 0)
(24, 5, 17, 1)
(24, 6, 10, 6)
(24, 7, 4, 6)
(25, 0, 28, 5)
(25, 1, 27, 1)
(25, 2, 20, 1)
(25, 3, 28, 2)
(25, 4, 1, 7)
(25, 5, 29, 5)
(25, 6, 18, 2)
(25, 7, 18, 5)
(26, 0, 9, 0)
(26, 1, 31, 4)
(26, 2, 19, 7)
(26, 3, 18, 4)
(26, 4, 23, 3)
(26, 5, 3, 7)
(26, 6, 2, 7)
(26, 7, 15, 3)
(27, 0, 12, 5)
(27, 1, 19, 0)
(27, 2, 8, 4)
(27, 3, 26, 7)
(27, 4, 15, 5)
(27, 5, 10, 4)
(27, 6, 19, 1)
(27, 7, 29, 1)
(28, 0, 19, 4)
(28, 1, 31, 5)
(28, 2, 23, 5)
(28, 3, 30, 4)
(28, 4, 31, 7)
(28, 5, 6, 0)
(28, 6, 17, 5)
(28, 7, 29, 2)
(29, 0, 7, 7)
(29, 1, 2, 3)
(29, 2, 2, 0)
(29, 3, 30, 3)
(29, 4, 15, 2)
(29, 5, 15, 6)
(29, 6, 12, 6)
(29, 7, 17, 7)
(30, 0, 18, 7)
(30, 1, 31, 1)
(30, 2, 28, 7)
(30, 3, 9, 1)
(30, 4, 8, 7)
(30, 5, 30, 2)
(30, 6, 29, 4)
(30, 7, 29, 6)
(31, 0, 24, 0)
(31, 1, 16, 6)
(31, 2, 29, 0)
(31, 3, 8, 5)
(31, 4, 19, 5)
(31, 5, 24, 1)
(31, 6, 21, 7)
(31, 7, 27, 3)
